TIME_STAMP,Score,YEAR,SCHOOL_SYSTEM,HS_FRIENDS,CSE_INCLUSION,H_SATIF,CSE_SATIF,NOTES
27/05/2024 22:32:15,,2nd year,Independent/Private,FALSE,6,6,7,
27/05/2024 22:36:36,,2nd year,Independent/Private,FALSE,3,10,3,"I feel like I don't have that much friends within CSE as it is such a large community - I have formed more friends at uni in smaller circles, in classes, orchestra, or smaller societies"
27/05/2024 22:44:09,,3rd year,Independent/Private,FALSE,5,5,7,
28/05/2024 07:37:38,,2nd year,Independent/Private,TRUE,2,7,3,i went through some stuff that made me withdraw quite a bit so honestly i wouldn’t be friends with me either 
28/05/2024 09:37:51,,2nd year,Government non-selective,FALSE,7,8,7,
28/05/2024 10:51:23,,4th year,Catholic,FALSE,1,10,4,"When it comes to UNSW CSE, there is a clear inner circle. On chats, there is a tinge of elitism at all times (by a vocal minority albeit) that makes it really hard to assimilate."
28/05/2024 13:31:13,,3rd year,Catholic,FALSE,5,5,10,"I got into this situation through attending university programs such as ACE, and joining societies like Engsoc and CSESoc"
28/05/2024 20:29:08,,2nd year,Government selective,TRUE,1,5,3,"Getting burned after talking to random people in clubs and them either never getting their contact, never meeting IRL and the nascent friendship fizzling out or them ghosting me for no apparent reason"
29/05/2024 16:48:46,,1st year,Government selective,TRUE,8,7,7,"getting to know mutuals, especially people who went to other selective schools"
29/05/2024 20:09:27,,2nd year,Government selective,TRUE,7,6,6,
29/05/2024 20:21:46,,1st year,Government selective,FALSE,7,9,7,"Although I have made plenty of friends solely through uni, most of my closest friendships began back in high school. I would say programs during high school that let you meet people from other schools have been the most valuable in putting me in the social situation I'm in today, since a lot of people I've come across at uni have been friends of friends. This is also probably because I'm in first year and I haven't had much chance to get really close with anyone I met at the beginning of uni yet. To make friends in uni, I came in with an open mind, excited to meet new people because I was growing sick of being around the same kinds of people for 6 years. I joined society subcoms, attended almost all of their social events, showed up to my labs and started up conversations with people sitting next to me in lectures. I found that most of the time people appreciate that you initiate the conversation because everyone wants to make new friends, but they're too nervous to start the convo. "
30/05/2024 00:47:15,,2nd year,Government selective,TRUE,5,7,9,"Almost all of my friends from high school are at UNSW doing the same (or a similar) degree. Most ended up doing CompSci/Actuarial/Engineering (or double degree combinations of these). So, when I came to university, there was never any incentive for me to 'socialise' with new people. I didn’t go to any camps, join any societies or even go to university events. We all just kinda stayed in our bubble - this holds true for the grade above us from our High School too. I know this because we saw them still hanging out with their same friends from High School around campus lol.  On one hand this was cool because I never felt isolated as some people do when starting off at uni. I think a lot of this stems from the fact that - People are inherently different. Every time you go out and try to talk to someone new, more likely than not; they are going to be from a different background, have different interests, aspirations and values from you. You will not always like these people, and that’s okay! Eventually you do find people you can get along with.   But your friends from high school, you grow up with. These are people you already have tight bonds with and can trust. These people usually know your family, live close to you and will continue to be a big part of your life.  On the other hand, looking back at my first year, I regret not trying to meet new people. I think it’s important to go out and see how other people view the world, even if they end up being ‘weird’ a lot of the time lmaoo."
30/05/2024 15:03:45,,2nd year,Government non-selective,FALSE,10,8,8,"My experience is that in high school I was closer with a smaller group of people whereas at uni I know a lot more people but the connections aren’t as deep. I think it’s a lot easier to make surface level connections with people but it’s difficult to form what would be “groups” like in high school. I feel like this is partially bc many people come into uni with a pre-existing group and once any sort of group is formed it’s virtually impossible to become part of it. So while I feel like I’ve met a wide range of really interesting people at uni, it can sometimes feel awkward when I want to do something bc I don’t have a defined group of people to ask. So it has its pros and cons. But I’m glad I came to uni with none of my hs friends as i know I would have avoided meeting new people whereas now I have been forced to put myself out there which has been beneficial in meeting new people and growing as a person. "
30/05/2024 21:41:56,,1st year,Government selective,TRUE,6,8,6,Not much involved with cse but i joined subcom for mathsoc which I'm really happy about socially wise.
